BuildingType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberOfPropertyUseTypes,PrimaryProperty,SecondLargest,ThirdLargest,NombreAnnees
CAMPUS,7,DOWNTOWN,1900,1.0,2,0,49280,15614.0,9240.0,8199.0,,5437110.5,98.28,6,MIXED USE,FOOD AND BEVERAGE,ENTERTAINMENT AND LEISURE,116
CAMPUS,7,DOWNTOWN,1942,1.0,4,0,45500,22669.0,10455.0,3668.0,,3778355.0,26.34,6,RESIDENTIAL AND HOUSING,RETAIL AND PERSONAL SERVICES,FOOD AND BEVERAGE,74
CAMPUS,7,DOWNTOWN,1912,1.0,2,0,25380,17114.0,6426.0,1840.0,,6901554.0,218.79,3,FOOD AND BEVERAGE,FOOD AND BEVERAGE,OFFICE AND BUSINESS,104
NONRESIDENTIAL,7,DOWNTOWN,1915,1.0,6,0,40715,20895.0,16260.0,3560.0,,2827772.75,44.89,3,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,STORAGE,101
NONRESIDENTIAL,7,DOWNTOWN,1990,1.0,4,34800,47265,36036.0,27594.0,13945.0,91.0,1717130.875,11.97,3,MIXED USE,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,26
NONRESIDENTIAL,7,DOWNTOWN,1910,1.0,4,0,36160,36160.0,0.0,0.0,47.0,1862176.875,12.98,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,106
NONRESIDENTIAL,7,DOWNTOWN,1918,1.0,1,0,34617,6455.0,5813.0,5581.0,,5136604.5,143.34,8,MIXED USE,OFFICE AND BUSINESS,OFFICE AND BUSINESS,98
NONRESIDENTIAL,7,DOWNTOWN,1909,1.0,5,0,66900,68048.0,0.0,0.0,100.0,1634178.25,14.13,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,107
NONRESIDENTIAL,7,DOWNTOWN,1910,1.0,3,0,29340,12714.0,11592.0,2836.0,,2160420.0,75.99,3,MIXED USE,RESIDENTIAL AND HOUSING,FOOD AND BEVERAGE,106
NONRESIDENTIAL,7,DOWNTOWN,1930,0.0,2,0,22710,22710.0,0.0,0.0,,287763.5,2.01,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,86
NONRESIDENTIAL,4,LAKE UNION,2000,1.0,3,13540,36959,36959.0,13540.0,0.0,13.0,3205182.5,22.46,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,16
NONRESIDENTIAL,4,LAKE UNION,1964,1.0,5,9605,44860,57972.0,0.0,0.0,68.0,3600571.25,41.22,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,52
NONRESIDENTIAL,3,EAST,1930,1.0,2,0,45960,45960.0,0.0,0.0,56.0,4167253.75,182.81,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,86
NONRESIDENTIAL,7,LAKE UNION,1959,1.0,2,0,21128,21128.0,0.0,0.0,97.0,436604.0938,3.04,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,57
NONRESIDENTIAL,7,LAKE UNION,2008,1.0,4,0,274442,108763.0,105499.0,58152.0,,9155568.0,220.26,4,MIXED USE,PARKING,RESIDENTIAL AND HOUSING,8
NONRESIDENTIAL,7,LAKE UNION,2013,1.0,3,0,51552,54150.0,650.0,0.0,,1539066.375,10.73,2,OFFICE AND BUSINESS,OFFICE AND BUSINESS,NOT CONCERNED,3
NONRESIDENTIAL,7,LAKE UNION,1959,1.0,4,0,38520,38500.0,0.0,0.0,37.0,2804534.0,75.25,1,HOTEL,NOT CONCERNED,NOT CONCERNED,57
NONRESIDENTIAL,7,LAKE UNION,1961,1.0,3,4256,24930,19000.0,0.0,0.0,95.0,867184.375,30.22,1,HOTEL,NOT CONCERNED,NOT CONCERNED,55
NONRESIDENTIAL,7,LAKE UNION,1960,1.0,1,0,27338,27338.0,0.0,0.0,56.0,581289.0,4.05,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,56
NONRESIDENTIAL,3,EAST,1999,1.0,2,65640,20110,65000.0,20000.0,0.0,,2045592.0,77.76,2,OTHER SERVICES AND FACILITIES,EDUCATION,NOT CONCERNED,17
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1930,1.0,3,0,45864,45864.0,0.0,0.0,94.0,2590622.0,115.43,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,86
NONRESIDENTIAL,5,NORTHWEST,1999,1.0,2,0,49252,61099.0,0.0,0.0,23.0,3485865.5,104.91,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,17
SPS-DISTRICT K-12,5,NORTH,1950,1.0,1,0,34005,50337.0,0.0,0.0,94.0,991918.0,10.15,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,66
SPS-DISTRICT K-12,1,SOUTHWEST,1949,1.0,1,0,41221,60814.0,0.0,0.0,83.0,2246747.5,46.46,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,67
NONRESIDENTIAL,4,LAKE UNION,1987,1.0,3,0,33176,33176.0,15000.0,0.0,89.0,1426279.5,35.96,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,29
NONRESIDENTIAL,4,LAKE UNION,1993,1.0,3,3764,21430,10751.0,8044.0,2635.0,,1878742.875,55.95,3,RETAIL AND PERSONAL SERVICES,HEALTH AND MEDICAL,OFFICE AND BUSINESS,23
SPS-DISTRICT K-12,2,SOUTHEAST,2000,1.0,2,0,75605,75605.0,0.0,0.0,83.0,2274873.5,50.67,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,16
SPS-DISTRICT K-12,2,SOUTHEAST,2008,1.0,2,0,29525,29525.0,0.0,0.0,77.0,1297812.75,24.42,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,8
NONRESIDENTIAL,2,GREATER DUWAMISH,1977,1.0,99,0,21948,21948.0,0.0,0.0,80.0,326001.1875,2.27,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,39
NONRESIDENTIAL,3,EAST,1927,1.0,3,0,31191,30095.0,1096.0,0.0,,5876439.0,167.98,2,OTHER SERVICES AND FACILITIES,STORAGE,NOT CONCERNED,89
NONRESIDENTIAL,5,NORTH,1947,1.0,1,0,37377,31303.0,3468.0,840.0,,3040978.0,111.73,6,OTHER SERVICES AND FACILITIES,RETAIL AND PERSONAL SERVICES,OFFICE AND BUSINESS,69
NONRESIDENTIAL,2,GREATER DUWAMISH,1977,1.0,1,0,29380,16768.0,6837.0,5775.0,33.0,856088.625,5.97,3,STORAGE,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,39
NONRESIDENTIAL,3,EAST,1922,1.0,2,0,22688,22688.0,0.0,0.0,87.0,331675.0,7.07,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,94
NONRESIDENTIAL,2,SOUTHEAST,1962,1.0,2,0,22364,22364.0,0.0,0.0,,1467029.75,54.44,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,54
NONRESIDENTIAL,2,GREATER DUWAMISH,1982,1.0,2,0,41262,40738.0,0.0,0.0,84.0,1903455.875,13.27,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,34
NONRESIDENTIAL,7,LAKE UNION,1953,1.0,2,0,43183,26580.0,11497.0,0.0,,7408342.0,92.45,2,OFFICE AND BUSINESS,OFFICE AND BUSINESS,NOT CONCERNED,63
NONRESIDENTIAL,4,NORTH,1908,1.0,3,0,45680,45680.0,0.0,0.0,79.0,2077039.375,86.81,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,108
NONRESIDENTIAL,7,LAKE UNION,2006,1.0,14,0,724148,726000.0,0.0,0.0,8.0,37797084.0,913.07,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,10
NONRESIDENTIAL,1,SOUTHWEST,1957,1.0,1,0,23562,18278.0,15212.0,0.0,96.0,531737.1875,3.71,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,59
NONRESIDENTIAL,6,BALLARD,1999,1.0,4,0,28844,10292.0,10200.0,0.0,,910718.6875,6.35,2,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,NOT CONCERNED,17
SPS-DISTRICT K-12,1,DELRIDGE,1988,1.0,2,0,54528,54285.0,0.0,0.0,75.0,1972078.625,13.75,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,28
NONRESIDENTIAL,2,GREATER DUWAMISH,1989,1.0,1,0,21101,18373.0,2728.0,0.0,,675772.875,27.97,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,27
NONRESIDENTIAL,2,GREATER DUWAMISH,1914,1.0,2,0,45594,45594.0,0.0,0.0,75.0,1351267.875,9.42,1,STORAGE,NOT CONCERNED,NOT CONCERNED,102
NONRESIDENTIAL,2,GREATER DUWAMISH,1950,1.0,1,0,26660,26660.0,0.0,0.0,,2241280.5,15.62,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,66
NONRESIDENTIAL,2,GREATER DUWAMISH,1975,1.0,1,0,28126,21780.0,6346.0,0.0,44.0,870625.8125,18.63,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,41
NONRESIDENTIAL,2,GREATER DUWAMISH,1964,1.0,1,0,35000,35000.0,0.0,0.0,53.0,378714.4063,2.64,1,STORAGE,NOT CONCERNED,NOT CONCERNED,52
NONRESIDENTIAL,2,GREATER DUWAMISH,1962,1.0,1,0,26150,26150.0,0.0,0.0,6.0,1208407.625,26.55,1,STORAGE,NOT CONCERNED,NOT CONCERNED,54
NONRESIDENTIAL,2,GREATER DUWAMISH,1967,1.0,2,0,24000,24000.0,0.0,0.0,73.0,1088556.25,7.59,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,49
NONRESIDENTIAL,3,EAST,1968,1.0,5,0,43594,40809.0,0.0,0.0,38.0,2478045.5,73.26,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,48
NONRESIDENTIAL,4,LAKE UNION,1912,1.0,1,0,28080,25580.0,2500.0,0.0,,794724.625,18.54,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,104
NONRESIDENTIAL,5,NORTHWEST,1954,1.0,2,0,51298,51298.0,0.0,0.0,85.0,5655578.0,203.73,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,62
NONRESIDENTIAL,5,NORTHWEST,1962,1.0,1,0,22047,22898.0,0.0,0.0,100.0,265774.9063,1.85,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,54
NONRESIDENTIAL,1,GREATER DUWAMISH,1979,1.0,1,0,31600,31600.0,0.0,0.0,3.0,3363535.5,103.28,1,STORAGE,NOT CONCERNED,NOT CONCERNED,37
NONRESIDENTIAL,1,GREATER DUWAMISH,2007,1.0,1,0,35289,35289.0,0.0,0.0,63.0,876425.0,23.9,1,STORAGE,NOT CONCERNED,NOT CONCERNED,9
NONRESIDENTIAL,1,GREATER DUWAMISH,1981,1.0,1,0,28920,30000.0,0.0,0.0,50.0,1750419.0,80.09,1,STORAGE,NOT CONCERNED,NOT CONCERNED,35
NONRESIDENTIAL,1,GREATER DUWAMISH,1978,1.0,1,0,22176,22176.0,0.0,0.0,60.0,736428.625,32.77,1,STORAGE,NOT CONCERNED,NOT CONCERNED,38
NONRESIDENTIAL,1,GREATER DUWAMISH,1978,1.0,1,0,31300,31300.0,0.0,0.0,89.0,362874.0,9.08,1,STORAGE,NOT CONCERNED,NOT CONCERNED,38
NONRESIDENTIAL,1,GREATER DUWAMISH,1979,1.0,1,0,22000,22000.0,0.0,0.0,14.0,700627.625,4.88,2,STORAGE,PARKING,NOT CONCERNED,37
NONRESIDENTIAL,5,NORTH,1974,1.0,3,0,39927,39541.0,0.0,0.0,38.0,3568419.5,24.88,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,42
NONRESIDENTIAL,5,NORTH,1979,1.0,1,0,30610,23320.0,7290.0,0.0,,4294550.0,135.81,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,37
NONRESIDENTIAL,5,NORTH,1980,1.0,2,6350,20580,26930.0,0.0,0.0,64.0,1002995.0,6.99,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,36
NONRESIDENTIAL,5,NORTH,1968,1.0,2,0,38745,65069.0,0.0,0.0,76.0,2890379.0,49.62,2,HEALTH AND MEDICAL,PARKING,NOT CONCERNED,48
NONRESIDENTIAL,4,NORTHEAST,1959,1.0,2,0,20296,20296.0,0.0,0.0,,855665.125,5.97,1,STORAGE,NOT CONCERNED,NOT CONCERNED,57
NONRESIDENTIAL,4,NORTHEAST,1945,1.0,2,0,22135,10388.0,8116.0,3200.0,,1261634.5,27.41,4,MIXED USE,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,71
NONRESIDENTIAL,4,NORTHEAST,1967,1.0,3,0,38378,35066.0,3312.0,0.0,86.0,1645605.125,53.73,2,HEALTH AND MEDICAL,PARKING,NOT CONCERNED,49
NONRESIDENTIAL,4,NORTHEAST,1980,1.0,2,0,33576,33576.0,0.0,0.0,64.0,1275231.75,49.73,1,STORAGE,NOT CONCERNED,NOT CONCERNED,36
NONRESIDENTIAL,4,NORTHEAST,1975,1.0,1,0,33005,34982.0,0.0,0.0,21.0,10642754.0,225.67,2,FOOD AND BEVERAGE,PARKING,NOT CONCERNED,41
NONRESIDENTIAL,3,EAST,1981,1.0,1,0,20971,23483.0,10360.0,8509.0,,729397.1875,5.08,4,OTHER SERVICES AND FACILITIES,RETAIL AND PERSONAL SERVICES,HEALTH AND MEDICAL,35
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1927,1.0,3,0,23910,20000.0,3910.0,0.0,,873577.3125,15.11,2,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,89
NONRESIDENTIAL,6,BALLARD,1910,1.0,2,0,21765,21765.0,0.0,0.0,80.0,431390.4063,17.38,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,106
CAMPUS,3,EAST,1939,1.0,2,0,2200000,1719643.0,318960.0,0.0,,114648520.0,3243.48,2,EDUCATION,PARKING,NOT CONCERNED,77
NONRESIDENTIAL,3,CENTRAL,1901,1.0,2,0,26560,26560.0,0.0,0.0,1.0,1751483.875,64.88,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,115
NONRESIDENTIAL,4,LAKE UNION,1957,1.0,2,0,20140,20140.0,0.0,0.0,49.0,116486.6016,0.81,1,STORAGE,NOT CONCERNED,NOT CONCERNED,59
NONRESIDENTIAL,2,GREATER DUWAMISH,1992,1.0,2,0,38845,38845.0,6000.0,0.0,82.0,6917280.0,215.56,2,RETAIL AND PERSONAL SERVICES,PARKING,NOT CONCERNED,24
NONRESIDENTIAL,2,GREATER DUWAMISH,1953,1.0,1,0,26092,25946.0,0.0,0.0,40.0,7619445.0,173.75,2,FOOD AND BEVERAGE,PARKING,NOT CONCERNED,63
SPS-DISTRICT K-12,5,NORTH,1955,1.0,1,0,38582,40374.0,0.0,0.0,85.0,1848878.5,64.54,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,61
NONRESIDENTIAL,2,GREATER DUWAMISH,1967,1.0,1,0,25500,25500.0,0.0,0.0,98.0,1213869.75,55.3,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,49
NONRESIDENTIAL,2,GREATER DUWAMISH,1961,1.0,1,0,41895,37524.0,2596.0,0.0,,1242311.5,25.09,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,55
NONRESIDENTIAL,2,GREATER DUWAMISH,1958,1.0,2,0,56193,56193.0,0.0,0.0,,2497942.75,46.9,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,58
NONRESIDENTIAL,6,BALLARD,1922,1.0,3,0,35448,35448.0,0.0,0.0,97.0,1379932.5,60.34,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,94
NONRESIDENTIAL,6,BALLARD,1966,1.0,1,0,29214,29214.0,0.0,0.0,8.0,9336239.0,208.53,1,FOOD AND BEVERAGE,NOT CONCERNED,NOT CONCERNED,50
NONRESIDENTIAL,6,BALLARD,2000,1.0,1,43035,46068,47034.0,0.0,0.0,34.0,14029480.0,384.85,2,FOOD AND BEVERAGE,PARKING,NOT CONCERNED,16
NONRESIDENTIAL,6,BALLARD,1961,1.0,1,0,32000,29880.0,4700.0,0.0,,1331122.125,45.38,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,55
NONRESIDENTIAL,6,BALLARD,1910,1.0,2,0,31140,14840.0,9400.0,6900.0,,935580.3125,38.86,3,MIXED USE,RETAIL AND PERSONAL SERVICES,STORAGE,106
NONRESIDENTIAL,6,BALLARD,1975,1.0,3,0,41478,31932.0,9546.0,0.0,3.0,3035962.25,78.22,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,41
NONRESIDENTIAL,6,BALLARD,1980,1.0,1,0,39840,39840.0,0.0,0.0,2.0,752104.0,5.24,1,STORAGE,NOT CONCERNED,NOT CONCERNED,36
NONRESIDENTIAL COS,6,BALLARD,2004,1.0,1,15576,15000,15000.0,3100.0,0.0,,1533245.75,38.52,2,OTHER SERVICES AND FACILITIES,OTHER SERVICES AND FACILITIES,NOT CONCERNED,12
NONRESIDENTIAL,6,BALLARD,1924,1.0,2,0,21528,21528.0,0.0,0.0,,306911.0938,6.61,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,92
NONRESIDENTIAL,6,BALLARD,1928,1.0,2,0,30000,25828.0,0.0,0.0,,1094940.75,13.14,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,88
NONRESIDENTIAL,6,BALLARD,1942,1.0,2,0,30087,30554.0,0.0,0.0,,5274642.0,36.77,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,74
NONRESIDENTIAL,6,BALLARD,1975,1.0,1,0,40445,40445.0,0.0,0.0,92.0,786253.6875,29.24,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,41
NONRESIDENTIAL,6,BALLARD,1996,1.0,1,0,23500,23500.0,0.0,0.0,53.0,1137967.5,13.29,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,20
NONRESIDENTIAL,6,BALLARD,1967,1.0,1,0,22420,23067.0,0.0,0.0,82.0,1404253.75,31.79,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,49
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1961,1.0,1,0,25842,25987.0,0.0,0.0,35.0,8518313.0,237.54,1,FOOD AND BEVERAGE,NOT CONCERNED,NOT CONCERNED,55
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1992,1.0,3,0,26389,16766.0,9623.0,0.0,,1208035.375,8.42,2,OFFICE AND BUSINESS,HEALTH AND MEDICAL,NOT CONCERNED,24
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1982,1.0,3,0,25859,25859.0,4000.0,0.0,88.0,858780.625,14.9,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,34
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1974,1.0,1,0,25600,20600.0,5000.0,0.0,1.0,1730600.625,34.26,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,42
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1965,1.0,1,0,23169,10200.0,0.0,0.0,,222255.9063,1.55,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,51
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2008,1.0,4,8399,33385,33385.0,8399.0,0.0,89.0,1294615.25,9.03,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,8
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1960,1.0,1,0,56884,56884.0,0.0,0.0,71.0,1388345.125,37.49,1,STORAGE,NOT CONCERNED,NOT CONCERNED,56
NONRESIDENTIAL,6,BALLARD,1989,1.0,1,0,32810,32810.0,0.0,0.0,66.0,2017967.75,46.44,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,27
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1980,1.0,3,0,30989,30989.0,0.0,0.0,,97690.39844,0.68,1,STORAGE,NOT CONCERNED,NOT CONCERNED,36
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1915,1.0,3,0,39952,39952.0,0.0,0.0,,57133.19922,0.4,1,STORAGE,NOT CONCERNED,NOT CONCERNED,101
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1961,1.0,2,0,20022,20784.0,0.0,0.0,80.0,657385.8125,4.58,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,55
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1960,1.0,2,0,36498,18229.0,17200.0,0.0,89.0,520011.8125,14.81,2,STORAGE,STORAGE,NOT CONCERNED,56
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1968,1.0,1,0,35946,31845.0,4101.0,0.0,,469499.8125,11.08,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,48
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2007,1.0,4,5680,24472,25184.0,4968.0,0.0,96.0,845044.125,5.94,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,9
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1979,1.0,4,0,22365,21617.0,0.0,0.0,71.0,727385.8125,5.07,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,37
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1994,1.0,4,0,30172,30172.0,0.0,0.0,82.0,904059.875,6.3,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,22
NONRESIDENTIAL,6,BALLARD,1927,1.0,4,0,42500,42500.0,5091.0,0.0,100.0,241478.5938,1.68,2,STORAGE,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,89
NONRESIDENTIAL,6,BALLARD,1901,1.0,4,0,23032,14448.0,5300.0,1460.0,,1121537.75,7.82,3,OFFICE AND BUSINESS,FOOD AND BEVERAGE,RETAIL AND PERSONAL SERVICES,115
NONRESIDENTIAL,6,BALLARD,1900,1.0,3,4914,40836,42850.0,2900.0,0.0,,7240274.0,303.81,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,116
NONRESIDENTIAL,6,BALLARD,1968,1.0,2,0,23500,23500.0,0.0,0.0,26.0,1686405.0,34.52,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,48
NONRESIDENTIAL,6,BALLARD,1966,1.0,1,0,22282,22282.0,0.0,0.0,93.0,579888.3125,16.67,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,50
NONRESIDENTIAL,6,BALLARD,1902,1.0,2,0,24000,24000.0,0.0,0.0,,502898.6875,17.39,1,STORAGE,NOT CONCERNED,NOT CONCERNED,114
NONRESIDENTIAL,6,BALLARD,1909,1.0,3,0,27085,9500.0,8196.0,6700.0,,1995131.75,60.67,4,MIXED USE,OFFICE AND BUSINESS,RESIDENTIAL AND HOUSING,107
NONRESIDENTIAL COS,5,NORTH,1996,0.0,2,0,29258,31991.0,2648.0,0.0,,8086943.5,309.14,3,OTHER SERVICES AND FACILITIES,HEALTH AND MEDICAL,ENTERTAINMENT AND LEISURE,20
NONRESIDENTIAL,5,NORTH,1931,1.0,2,0,37500,37500.0,0.0,0.0,58.0,2235765.5,44.26,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,85
NONRESIDENTIAL,5,NORTHWEST,1930,1.0,3,0,23983,23983.0,0.0,0.0,61.0,1164364.75,33.28,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,86
NONRESIDENTIAL,1,DELRIDGE,1980,1.0,1,0,24100,20100.0,3500.0,0.0,22.0,809870.8125,30.49,2,STORAGE,STORAGE,NOT CONCERNED,36
NONRESIDENTIAL,1,SOUTHWEST,1971,1.0,1,0,23772,23772.0,0.0,0.0,100.0,100841.7031,0.7,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,45
NONRESIDENTIAL,4,NORTHEAST,2004,3.0,2,0,31343,51515.0,0.0,0.0,5.0,3846501.25,128.66,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,12
NONRESIDENTIAL,6,NORTHWEST,1996,1.0,3,22850,33062,24052.0,23501.0,9561.0,,2450442.75,17.08,3,MIXED USE,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,20
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1957,1.0,2,0,20294,18000.0,2294.0,0.0,,1735995.75,67.45,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,59
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1983,1.0,4,10849,29722,24008.0,0.0,0.0,64.0,1286817.375,8.97,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,33
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1983,1.0,4,15659,26048,41707.0,12000.0,0.0,78.0,1755788.5,12.24,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,33
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1960,1.0,2,0,57644,20176.0,19440.0,15490.0,,2189735.0,42.87,3,MIXED USE,OTHER SERVICES AND FACILITIES,STORAGE,56
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1955,1.0,2,0,39497,25547.0,13950.0,0.0,9.0,1700057.375,28.28,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,61
NONRESIDENTIAL COS,3,EAST,1932,1.0,1,0,33087,53776.0,0.0,0.0,,3548858.25,121.9,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,84
NONRESIDENTIAL,5,NORTHWEST,1982,1.0,2,0,27574,27574.0,0.0,0.0,73.0,1211349.25,8.44,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,34
NONRESIDENTIAL,5,NORTH,1965,1.0,1,0,24982,24982.0,0.0,0.0,99.0,335245.0,2.34,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,51
NONRESIDENTIAL,5,NORTH,1998,1.0,5,0,43661,43661.0,0.0,0.0,4.0,3936421.5,82.57,2,HEALTH AND MEDICAL,PARKING,NOT CONCERNED,18
NONRESIDENTIAL,5,NORTHWEST,1987,1.0,3,27307,48798,76105.0,0.0,0.0,91.0,2472350.25,17.24,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,29
NONRESIDENTIAL,5,NORTH,1952,1.0,2,0,32009,17500.0,15770.0,4000.0,,1998725.25,44.28,3,MIXED USE,RETAIL AND PERSONAL SERVICES,OFFICE AND BUSINESS,64
NONRESIDENTIAL,5,NORTH,1966,1.0,1,0,41615,41615.0,0.0,0.0,69.0,1900006.25,13.25,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,50
